,sentiment,content
138,8,know but like said have no idea how long it takes for them to investigate this stuff
139,12,cant sleep but im too sore to move
140,8,awe miss my baby
141,2,just answered you never learned how to write in french just basic stuff
142,8,what is it with chocolates just can never say no
143,12,achieving new appreciation on how xml build script can really be painful and cumbersome
144,8,too awake now ill have nap this afternoon
145,12,cant do anything
146,8,still needs another hours of sleep
147,9,at work
148,4,rip leonardo you were great mini fiddler crab
149,8,morning tweeple way to early again
150,10,last day working for the uni today sad times
151,7,thanks neemah gonna be soooo close to you and izzy yet so far
152,12,my head hurts so bad could scream
153,12,just go up and im so tired and my airmatras is broken somewhere and now im in even more pain
154,12,new work wellness challenge not going well committed to not check email between pm and am failed on first day twice
155,12,new blog post blog auto insuran just found that my auto insurance policy had been expired am too careless meanw
156,8,where are all ma bestfriends at mia or wat
157,12,oh men really can not see my face mon guys
158,12,showing my age renewed my tags last week went down got my insurance renewal email today went down do not wanna be old
159,12,my sole supporter is not my sole supporter
160,6,do not you hate it when you finish all your work and there still hours left of work time
161,12,urgh stop it guys
162,10,is still missing her husband really want him home
163,10,miss my puppy
164,11,days of this month left and only have mb left on my onpeak downloads
165,4,up is out did not get the memo it looks amazing
166,10,ve given up on pizza kids would never let me have my fav the hot ones
167,12,up reading tabloids about other people lives thinking what gonna do with mine when my baby leaves
168,10,yearling in pet home died very sad for their whole family
169,8,fun in the sun hmmm hell no it cold
170,12,got giant splinter stuck up underneath my finger nail today at muppets it hurt but got to go to first aid for the first time
171,10,we hate change so of course we re fans for life oh and if we have not met rob by then something went horribly wrong
172,12,is feeling sad for some reason
173,10,well fuck this new pain med has an odd warning that actually applies to me can not take this chan is displeased
174,10,just uploaded my new blog painful story about an year old man who cried because he wanted to die very sad
175,8,do not think so want details
176,8,hi who is mary poppins
177,12,its so addicting but its kind of curse to do them at night time everytime do one feel like making music afterwards
178,8,my last tweet did not send bad phone
179,4,omg ur alive lol day has gone sooo slow going insane grrr you doing anything tonight
180,2,have headache going to bed goodnight
181,8,was watching parental control
182,4,did you get them from california vintage ahahah they have the best dresses want them but dont have ebay
183,10,just saw pics from this past thanksgiving and am sad because grandma was in them
184,12,it wont let me
185,10,took shift tomorrow do not really feel like working right now
186,10,but now have no money for phone
187,12,spent last night in er wife tangled wheels with daughter hit the deck dislocation fracture resulted
188,12,days about ready to visit torchwood and see if they ve heard anything
189,11,where are you in bris can not hear any thunder
190,11,bec vs fat food winner fat food but not this weeknend ill beat it
191,10,too bad the red devils disappointing to say the least
192,11,had dream about pretty pretty beach and there was no beach when woke up
193,10,have ware se not fast enough for ssd raid mhz iop on the hpt might try an adaptec ghz
194,11,when da heck will the garage man get here ask you when
195,12,ate mandy please forgive me really am sorry do not wanna lose my bff
196,6,umm yeah that probably pretty good note to self because eeeeee
197,12,why are plane tickets so expensive
198,4,umm yeah that probably pretty good note to self because eeeeee
199,12,needs job badly
200,10,daaammmnnnnn do wish was there
201,12,went to di bella coffee roasters today and asked for job the person needed to speak to is on holiday fb
202,10,played up until the latter parts of the voodoo village part co op until lost my usual partner
203,2,nite now up bored as opposed to almost sleep frm
204,10,is bad friend
205,8,happy birthdayyy hope you have an awesome day did not see you at next last night
206,6,im doing that shit right now im on vacation and you got me workin
207,8,ill be over in an oir
208,8,guess its no go girlie still at the gym and work at am
209,6,would wish the severe migrains would stop doc prescriptions arent working
210,7,missed the game
211,10,no internet last night er was brill there was massive explosion at the end of nearby gas works er on standby
212,6,cuz airlines are super lame
213,10,still pity it comes with no lamb though
214,10,sorry to hear that here is my optimist things will get better for all of us
215,9,is done painting all the bedroom furniture still have to do the table but it will wait until after the move uggh moving in the heat
216,6,so very tired and have insomnia
217,8,hungry fool ill probably never see that krispy kreme again had to enjoy it they closing down
218,8,airport and you didnt show up tonight homo
219,6,hate bakersfield and hate the ports let me go home already want to start my vacation
220,8,what about me
221,8,looking for desktop twitter app that will actually let you access urls any suggestions liked twittle but no linking
222,12,people in my house do not know how to close doors
223,11,why am completing facebook quizzes at this time of the morning especially friday morning
224,8,out with am soooo hungry
225,12,do not like the possibility of the left side of my brain hurting because of the thing called vp shunt and possible death
226,10,had to cancel wow for now
227,12,wants to make music profile but do not have money do not know how to write music do not know how to play an instrument and no studio
228,10,but yeah sad about my ravenclaw account love that account to bits
229,12,it am and hear helicopter flying over my house that kind of weird in other news my headache is back booooo
230,12,oh no am always here
231,8,back from school ms suhana last day as our ft ocu was okay playing altnoy over and over again
232,8,poll was trying to get it to work in powerpoint to no avail
233,5,took math test today the day before the test the teacher says bring your calculator luke was confident teacher decided no calcs
234,5,omg the concert was awesome madrigals gave me chills on almost every piece brooks also called up alumni but didnt get to go
235,8,yeah it terrible cockatoos are the hardest to live with so emotional good thing he found you though
236,10,up late with nothin do
237,12,think the vog is making me sicker than think feeling slightly achy
238,2,was watching harpers island lol there was no vodka involved
239,12,am doing homework it sux big time maths is the worst
240,8,would have been better imo if it let you play through all songs provided just start to get it and it blacks out
241,8,wordsaftersex it never started
242,10,sometimes wish things could go back to the way they were the beginning of last summer
243,12,downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets but no they did not
244,2,trudy off burnet the one up north that no one goes to
245,10,feel the same way but guess no matter where you are there will always be memes
246,5,can do minutes of treadmill but done minutes for today already gonna do minutes more
247,12,sooooooooooooo confused
248,8,with friends like vaiko nedumaran ltte did not need enemies wrong advice at wrong time led to numerous deaths lost cause as well
249,12,work day of
250,5,chillin with the roomies can not wait for the zombie clwn cr its gonna be weeks
251,8,looove guitars and playing them think they sound magnificent if only was better if only
252,12,no refunds but they do retrieve accounts takes like week just hoping the thief does not use hacks or then it permaban
253,8,no im not cries lol
254,10,cute malay girl came to seemy room for rent sadly think it was for her guyfreind bit misleading and disappointing lol
255,11,epicentre wheelock place units for tourists only starting today
256,6,hate the new mt dew commercial the one with giant mosquito it scares me and grosses me out all at the same time
257,8,come on knight it been well over hours
258,12,not super keen on the drive home through the rain additional concentration required that do not really wanna deal with
259,11,aw can not let me in on the secret
260,11,im sorry do not think stick out at least compared to what used to look like
261,12,no transport for church wont be making it im crushed oh well more time for assignments suppose my throat really hurts
262,6,hate when see pregnant women smokinggg its sooo irresponsible selfish its saaad ultimately the baby is the one who suffers
263,6,lies lies lies you just cant avoid to lie about practically everything
264,8,twittascope is not rocking my socks go away already
265,8,driving back home because forgot the piece of cake for
266,12,so tried jumping without the trampoline and its like thud thud should not have eaten that cookie
267,10,everytime send an email to my coach feel need to practice shitty balls lol
268,10,it pissing me off and not letting me follow ericka
269,10,is going to sleep not peaceful wanted to hear him say good night but that did not happen good night everyone
270,10,my mums trying to make me feel ebtter about stopping voting adn not winning shortstack almost cried
271,8,was so close to the tacos one spot too late
272,2,umm how bout em aint get see da game but see dey survived anotha game of da series due to notin but lebron im guessin
273,11,is thinking so much and at work
274,12,have forgot the live with the jonas brothers on facebook
275,10,have not seen muffin in two whole days
276,10,ll miss all back give my regards
277,11,my gap year is going so quick
278,12,have to admit bit bummed out that was not with my friends walking today
279,8,girl blunt is soooooooo in my thoughts right now had an absolutly great day with few stressors come home
280,12,my twitter has been hacked again
281,10,just found mj mouse flats at djs of course there are none left in my size
282,8,wont have time to buy and need new binder pa
283,6,hahaha well its try its so ugly
284,8,man ulduar is hard
285,12,do not even want to know why you know about vhemt but do not go we miss you
286,4,that awesome we have that this weekend too but can not go because moving this sat should be lot of fun though
287,8,night night twitter world still cant believe the thomas thing tomorrow gunna be fun sad
288,8,this is happening to me too
289,11,oh no hugs
290,8,bored now because was talking to someone but now they re busy with something else just kinda bummer idk
291,10,knoww things will not be the samee
292,12,omg ness it pm and need to beup early to set up my garage sale it starts am wish said am beat
293,5,kno doooo yall partyin with out me
294,12,okay so twitter suddenly changed how do respond to messages now
295,8,ugh my dad just told me to read an article about kavya shivashankar the spellin bee girl and be more like her
296,12,decided that no matter how good my hair looks curly it does not justify the burn get from the curler my hands covered suck at it
297,10,going to sleep gonna fall asleep playing apps again tmrw is going to suck
298,8,yea gotta be up at
299,6,hate when my bf beats da dogs but guess that the only way to teach these pitts
300,12,sprained my ankle like really badly and tore some stuffs it hurts and its my birthday weekend
301,10,can not believe the metal gear solid song was stolen so disappointed
302,6,think may have broke toe at the bar tonight thanks drunk girl for steppin all over me
303,8,not one sale done today at work explored balconies in the big theater coworkers fun day but void of chili fries and tips
304,10,wish had left dead but first need something to play it on
305,8,me too
306,8,that story reminds of living in portugal
307,8,youre diabetic so is my dad might be too not sure are you still allowed to eat sugar throughout the day
308,5,spilled my beer all over my leg wasted half my beer home now met cute girl good conversation
309,6,my roommate loves to ignore me
310,8,ll make him nachos tomorrow better than if he would have made them himself
311,8,yeahhh dont judge my pillow
312,9,scary lightning and thunder glad it over now going to sleep hope not late to school tomorow again haha
313,10,my teeth and head hurts
314,10,hate rob zombie movies the smell of weed vommmm
315,6,maths and science were the strongest for me think dunno bout geography only did like day of study for year of work
316,1,waiting in line tryst
317,12,hope get job cuz we need an apartment drunk miss my lil punkin tehe
318,12,just got home not wanting to read the last chaper of breaking dawn cause dont want it to beover
319,12,need to be held gnite
320,12,hanging out with sam billy and veronica not going to school tomorrow to take sam to body shops dang car accidents
321,10,no more arrested development am sad
322,8,wicked what time you leaving how come you cant stay the night
323,10,omg keep losing followers this is so sad want one day thats my goal
324,10,feel so deflated no more doggy
325,12,wanna see her hair hows everyone
326,10,just had to empty my trash on the mac that was one of the most difficult things have ever done in my life pictures are gone
327,10,im contacting paws philippines so can find tiger new owner im so sad love my dog soo much
328,10,just got home not wanting to read the last chaper of breaking dawn cause dont want it to be over
329,12,aww pray for the arroyo family everyone
330,8,there manual process but it taking ever on my outlook database pffff crappy msft product
331,10,fuuudge movie store is closed
332,10,alo is so sad and quiet and empty tonight
333,6,hahahaha it not horrible if others were singing with sure it could work wish could afford my own drum set
334,12,you never answered your dm sent you need your info
335,12,am trying to get through the pilot of the first season of friday night lights oh gosh pass the tissue
336,10,aw where are you headed to just cancelled my trip to aussie
337,12,have cystic lacrimal infectection my eye and face are swollen and it hurts
338,12,did not think anyone caught that
339,2,need to be sleeping but not even tired
340,2,
341,8,oh nevermind think this thing is unsalvageable
342,8,lyin in bed up faaaaar too early
343,10,sad that christian lacroix had to file bankruptcy
344,10,dont feel good at all fuckkk
345,1,why did agree to work double shift
346,12,looks like ll never go to the zoo
347,12,ohh poor girl ll email her am relying on you being here in october mr
348,8,when will medhurst play again
349,12,bad times
350,6,aarrgghh fu hose has leaked water all over the new floating floor
351,10,have to go to the dreaded dmv tomorrow
352,8,bit ben thai ed out
353,5,english class working on interactive orals
354,12,thank you for the rec but that does not work
355,8,sorry excited for tomorrow night karaoke getting anything special for bday
356,12,my puppy gizmo me haha he still growls me always look back my long pruple scar on my fingie
357,12,do not know how ima work out tomorrow wit my body dis sore ugh
358,8,in you
359,8,yeah plus it just little too far to walk to pinocchio for sushi
360,12,feeling this pressure in my head that always kicks in just before nasty headache not looking forward to this
361,10,taylor swift and joe jonas looked really good together kinda sad they broke up
362,12,suppose to turn in sentence outline for my research paper within the hour online but my neck hurts
363,12,lady across the way had miscarriage say prayer
364,10,god just want to sleep
365,6,ohhhh thunderstorms boo why do they always have to make the power go out
366,12,feel so deflated no more doggy
367,10,found my book starting real paper bound journal tonight have an annoying zit above my lip makes me look like have herpes
368,6,ratt rocked nashville tonite one thing sucked no encore like in the they still have fun show pearcy has that hott bad boy look
369,12,is feeling bad just got bad news about my mum
370,10,but but dun wanna
371,10,damn girl so down but ya gotta let me know so can get my kit together got flyer any next weekend down
372,10,dbl booooooo for being sick flippin blows bahaha kno dont have many friends on here either feel so lame haha
373,8,thats what was thinking but the only time it gonna be on is am
374,8,peeps still here fun times gotta sleep tho work in the some cool hot chicks here but none as cool as missing her
375,12,do not feel like working think tweet this too often
376,10,feels sick to my stomach and idkk whyy
377,12,vineri nimic special sau probabil un alt weekend pierdut
378,8,counting the hours of lost sunshine until the weekend
379,11,dude just saw your sf pics looks like your mini excursion was pretty kick ass did not see any sun while was there tho
380,9,is home safely but hungry
381,10,um was thrown from van yesterday and had to be taken to the er
382,12,got to final table but went out third do not think ll be getting my free seat
383,8,good morning work this morning gutted lol nevermind
384,6,have to work in the morning while my friends get to party it up stupid bberry lite flashing red and have no messages
385,5,fb is boring and wanna sing right now
386,10,the link does not work
387,8,hahaha do not know anyone or anything about it except they have powers lol live in my own bubble
388,12,the humpalow um ya think so cell is dying
389,12,last day at work sick to the bone
390,12,feel like on house arrest
391,8,love is like war easy to begin hard to end fiuuhh
392,11,ur supposed to be in bk tho
393,12,did you know that there is shortage of shells for crabs to use on the beach due to beach combers it is very sad
394,11,oh no nighty night
395,5,must have new music will not sleep until you give us chapter might die first though hurry
396,10,my stupid tooooth hurts
397,7,love the song together that his song for me well think it still is
398,8,ready to go school
399,10,my computers broken and broke my laptop so had to use the phone ahh still on he cause they fucked up my order
400,8,it good is not it our holiday chalet is out of sight but look similar to those ones going home again today
401,12,it sad economy just heard of another friend losing their job so sad but just reminder that
402,12,just starting to feel really panicky and anxious that something bad has happened cos it seems like it been ages
403,12,my dog ran awayyy
404,6,those suck so bad
405,12,back top molar extracted swollen face all numb but no more toothache or sinus pain
406,9,just finished hours of texas life insurance ce tonight more hours to go
407,12,does anyone know any good rap songs need to make rap fun cd and have no idea helllllpppp
408,7,want to go to peru this summer ahhhhhhh hopefully yesyesyes miss it over there
409,2,what happen to the maids of yours quit once again
410,10,awake anybody else awake wish lived in the us since all the fun happens when asleep
411,6,at charle with the power out lol damn savemart lost power and we could not buy beer
412,10,heehee love you am tired
413,12,my mobile phone refuses to charge either the battery is broken or the chargerrr booooo
414,12,oh how wish you would get her to sign something then send it to me or let me call you when you meet or something
415,12,hmmm thought were sleeping too bad can not see those videos until tomorrow night
416,10,morning everyone sorry for going early last night had bad news felt totally crap today is new day
417,2,went to the beach and it started raining
418,10,how wish my parents put me into chinese school when was younger then it ll be so much easier for me to get job
419,9,yeah physically moving too apparently we ll be reporting directly to mr hayward
420,8,airport and you didnt show up tonight homo
421,12,jealous it looks like schindler list in toronto
422,3,want another tatt
423,8,what come as you are but erock just left bah
424,3,so need to make lot of money tomorrow
425,10,being in your room makes me sad
426,12,nearly fell asleep but was jolted out of bed by massive panic attack and now not sure if can sleep at all
427,8,for the gays only made tonight
428,10,oh ck completely forgot about thirsty thursday oh my gaga this sucks
429,10,if one people did any wrong the world blames all the people over there this is the great world which we are living in shit
430,11,nope they are all sleeping cuz they live on the east coast
431,8,bet its cool down in sr huh it not here have not stopped sweating since noon when dad and were packing
432,10,eww dislike
433,12,tactical mistake going to the city library and buying milk who knew ouch ouch ouch maybe good thing did not try for uni
434,8,decided trans frm relaxed natural hair but wish my whole head looked like my roots age of the instant gratification
435,10,sorry bout the cat
436,8,needs to have an increase on her salary
437,12,my stomach feels like it touching the ground so full
438,7,pug just woke me from an incredible sleep
439,7,can wait to hear your new album sure will be amazing please just replay to me love you so much
440,12,sooo much work so little time
441,10,missed iron chef
442,10,the ds version sucks
443,10,what bad day
444,3,know ridiculous we never got to hang out love chicago and want to go shopping so trip sounds like fun
445,6,hates the net ayaw bumukas ng twitter
446,12,ugh my internet was down
447,11,omg didnt tweet all that much today sadness
448,12,is feeling so giddy and wanna go home
449,8,the week just wasnt the same without an adam lambert performance
450,8,the link does not work
451,12,up and packing its the last day of youth camp
452,8,gossip girl when are you coming back chaceeeeeee
453,8,smh hiphop nursery rhymes
454,12,somebody please save the polar bears
455,5,noooooooooooo just look at lot of pictures lol lol
456,11,not really sleepy bored is the right word again not much work
457,12,it has come to my attention from yo friend that ve recently gained ton of weight he did not know it was me
458,12,guess im staying home tonight no movie ing for me
459,10,went to the cd store to search for the cd but
460,12,reminds me of the weather month ago it was horrible hope all is well hugs
461,10,miss my mom may angels lead you in
462,7,there really no android twitter app of tweetie calibre
463,6,on jacksonville beach walking in the cold ass water but have to work in the morning ily
464,8,no it not
465,10,feel the same way every day
466,10,can not sleep sucks the one day have to sleep in and have to get up and go shopping with mom ugh
467,8,well just got home and its not on till tmw at but with comcast its on right now but didnt miss it
468,10,sleppytime really missing my godfather right now love you wayne
469,10,so have headache right now and it sucks
470,12,hope ya sleepin well guys still here
471,4,should be finished but not color drawing here come
472,10,lakers baby lakers ll miss the game tmwr have to work you ll have to keep me posted please
473,10,comfort food of the day pan mee though it didnt taste any good
474,12,damn being drunk and hot sucks
475,10,misses my baby
476,12,is not sleeping because he has paperwork to do
477,12,showered in ice cold water sweating now means one thing sick
478,12,midnight cry wish the person wanted wanted me right now
479,8,ma need you to follow me real quick cause can not dm you
480,10,poorly and can not sleep
481,12,went to pole class feeling discouraged am hopeless when it cones to dancing or sexy moves or spreading my legs
482,12,and these poor unfortunate souls do not appear to have any pants at all
483,12,if told you how often wash my hair you would never speak to me again
484,12,looks like another sleepless night dedicated to homework sorry in advance ms chapman
485,12,why do lot mock me
486,12,didnt say goodnight to you
487,6,am not pussy damnit sending you an mail right now btw
488,10,has work tom
489,8,in the hongkong international airport has to wait for hours for our next flight to cebu
490,8,can not sleep and nothings on tv
491,7,the pics just uploaded are the baby pics of my cats missy is now an adult and pretty little kitty but batty is in kitten heaven now
492,8,oh you ve been superseeded not good enough
493,10,today we say goodbye to the second good friend in week from dmp but at least the sun is shinning and definately not working this pm
494,0,fuckin transtelecom
495,1,is really really bored guess will go to bed
496,12,met stranger just min ago he was stalking me at the store
497,11,tee we beefin what was supposed to do before leavin
498,10,sometimes the things you say hurt the ones you love most unintentionally and you can never ever take it back or fix it
499,10,that sucks
500,8,iiii know and mean
501,10,having fever dont feel to work
502,12,taking horse pills hoping can get some sleep tonight
503,8,pgpm student from where myself was pgpm student about years back wish could stay one
504,10,missing days can not pass quick enough
505,6,hey that my school hate that place
506,10,working from home today my back is killing me doctor and then physio after later today
507,8,back to work with no distractions
508,5,demi just say hi to me and it enough just replay to me please love you so much
509,8,awwww never noticed this
510,8,that sucks well state starts tomorrow so im headin bed nitey nite
511,12,looks like it going to be too nice to work today how annoying as have no choice
512,8,did you guys keep set list forgot to ask for one xx
513,8,first impression of silverlight sadly based on what saw today it quite problematic
514,12,is desperatly hoping my dad takes me to vanessa game
515,12,hi fuck your job
516,10,missing you all deeply
517,8,the time you go to bed have to get up to go to work
518,5,big now vanessa is going to be in september its going by so fast its hard cuz im workin so much miss out on alot
519,10,sniff sniff take care ravels hopefully we ll be chatting again soon in the mean time ll hella miss you
520,8,lucky now want to teleport
521,12,somebody please save the polar bears
522,12,my nose is runny my head is pounding and teeth hurt like bitch man feel awful
523,10,do not want her to leave
524,9,headin home refreshed my mind and soul justa lil bit bac to reality
525,5,good lord just seen the agency work for our upcoming open day money for jam
526,2,wut do do now
527,0,working but it fridaaaayyyyy
528,12,at the grove for drag me to hell hope that it does not suck
529,12,so feel like shit for saying happy belated birfdayy only month late
530,10,lmao thats sad kinda discourages me rom goin if the shit wack
531,11,got home from work and just finished cleaning now need to eat dinner and do not know what want ugh oh well might not eat
532,10,wish was there
533,10,miss my little batty she was only months old when she got sick she was always so fun and full of life even at the very end
534,8,fc is finally up again it about time hate that this keeps happening
535,8,seriously bored without anyone to talk to but not tired enough for sleep
536,10,morning again hate mornings so offensive
537,8,still give your computer break omg
538,10,bed bed bed do you never answer texts anymore thought of you the other day and sent one but never heard back sad day
539,8,where at
540,10,waah we re no longer your peeps
541,10,lol wow dawg does not sound like you re playing feel bad now haha
542,11,extremly deep
543,5,my little foster kittens are getting big chubba and winston are going missed when they get amazing homes
544,3,one week till exam block
545,8,not at home with my cats right now
546,12,hoping did not fail english that would just be sad
547,12,know what would be great for my shoulder to stop hurting so can sleep normal again just want need few solid hours of good sleep
548,8,leno last show was tonight like him better than conan
549,10,sorry about your bad driving experiences
550,8,do not have any of that
551,10,already misses
552,6,plan may changes nooooooo
553,6,my sister is douchebag
554,11,there relisting fees when you do not complete sale that sucks
555,8,random has an
556,12,knew should ve worn the sars mask on the plane from socal feeling the beginnings of sore throat
557,10,gutted that the bathroom still is not free early work is not going to happen and need the loo
558,8,july too long
559,12,wish could have been there stuck here about to jab out my eyes with knitting needles
560,11,me too wonder if mnet will show it
561,8,wearing glasses gives me headache
562,3,stop talkin about food haha fill like sum nw hha hows your day goin or starting
563,12,finished sewing for the night uploading pictures from slidebar and beach cant believe am having difficulties with twitter
564,10,thank you cant wait ummm btw ima crash still sick
565,10,first my work computer now my home laptop is fucked
566,12,liesgirlstell guy calls her phone to see if the number is real ohh my phone is not working try tomorrow
567,12,beer friday melbourne cbd mtub mini cmon thirsty and lonely you buggers are making me feel like scotty no mates
568,12,know we came back from down in the st just to lose the lead in the last minutes
569,12,gosh summer vacation is almost over here at the philippines kinda sad wonder what section will be in
570,8,but is on page at ms twitterworld only votes
571,12,bummed that can not wear my sweet nike kicks to work
572,12,your twitter is broken
